,index,name,year,year_prod,cum,investmentMillNOK,recoverable_oil,remaining_oil,oil_price_nom,oil_price_real,oil_price_real_l1,oil_price_real_l2,oil_price_real_l3,oil_price_real_l4,oil_price_real_l5,oil_price_real_l6,oil_price_real_l7,oil_price_real_l8,diff_oil_price,pos_price_diff,neg_price_diff,diff_oil_price_3yr,pos_diff_3yr,neg_diff_3yr,deflator,bond_index,init_year,tot.prod,producing_from,producing_to,approved_at,shutdown,investmentMillNOK_real,maxyear,producing_time,time_to_peak
53,60,ALVE,2013,0.13579000000000002,1.20022,6.0,1.7,0.5,108.6375,10.86375,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,-0.301416666666667,1e-07,3.0141666666666698,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,5.6552688316596695,2011,4,2
54,61,ALVE,2014,0.16910999999999998,1.36933,,1.7,0.5,,,,,,,,,,,,,,,,,1.08005677216,2424.99,2009,1.93127,2009-03-19 00:00:00,,2007-03-16,,,2011,5,2
59,66,ALVHEIM,2008,2.29976,2.29976,2684.0,41.2,18.0,97.2559728,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,3.7992939393872,2.3553562924883,23.553562924883,1e-07,39.616653982075,39.616653982075,1e-06,0.95725840904,1573.98,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,2803.84060840133,2009,0,1
60,67,ALVHEIM,2009,4.97328,7.273039999999999,433.0,41.2,18.0,61.671264799999996,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,3.1689275738077,-3.7711874746623004,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.9833487352600001,1885.0,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,440.332086139831,2009,1,1
61,68,ALVHEIM,2010,4.57048,11.84352,1320.0,41.2,18.0,79.49553359999999,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,1.7702299597529998,17.702299597529997,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,1320.36474619267,2009,2,1
62,69,ALVHEIM,2011,3.8563400000000003,15.699860000000001,1354.0,41.2,18.0,111.25559799999999,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,2.9856095089383,29.856095089383,1e-07,9.84651994028999,9.84651994028999,1e-06,1.03495856434,2219.45,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,1308.26493605901,2009,3,1
63,71,ALVHEIM,2012,4.01331,19.71317,1170.0,41.2,18.0,111.66970238095,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,0.0405535714283332,0.405535714283332,1e-07,27.967820564543,27.967820564543,1e-06,1.0452581614799998,2449.56,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,1119.34069794143,2009,4,1
64,73,ALVHEIM,2013,3.4893199999999998,23.20249,237.0,41.2,18.0,108.6375,10.86375,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,-0.301416666666667,1e-07,3.0141666666666698,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,223.383118850557,2009,5,1
65,74,ALVHEIM,2014,2.88978,26.092270000000003,,41.2,18.0,,,,,,,,,,,,,,,,,1.08005677216,2424.99,2008,33.96192,2008-06-08 00:00:00,,2004-10-06,,,2009,6,1
69,78,ÅSGARD,1999,3.9008599999999998,3.9008599999999998,13602.0,102.4,17.5,17.970077800000002,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,0.6854165880362,6.854165880362,1e-07,-5.479654644596,1e-06,5.479654644596,0.7072081202399999,997.97,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,19233.376442827,2001,0,2
