"","name","year","year_prod","cum","investmentMillNOK","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"12","ALBUSKJELL",1989,0.1415,6.6864,14,7.4,0,18.2261133,33.746824653227,28.963858928739,37.258577781722,30.228480109489,58.806790334572,63.596875072185,68.117496987952,78.442633989637,90.751511771177,4.782965724488,4.782965724488,1e-07,3.518344543738,3.518344543738,1e-06,0.62060750447,447.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,22.5585412666836
"13","ALBUSKJELL",1990,0.10895,6.79535,8,7.4,0,23.7258203,41.677934093024,33.746824653227,28.963858928739,37.258577781722,30.228480109489,58.806790334572,63.596875072185,68.117496987952,78.442633989637,7.931109439797,7.931109439797,1e-07,4.419356311302,4.419356311302,1e-06,0.61968307593,481,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,12.909824893949
"40","ALBUSKJELL",1991,0.09085,6.8862,4,7.4,0,20.0033852,33.719950232076,41.677934093024,33.746824653227,28.963858928739,37.258577781722,30.228480109489,58.806790334572,63.596875072185,68.117496987952,-7.957983860948,1e-07,7.957983860948,4.756091303337,4.756091303337,1e-06,0.62105428404,568.73,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,6.44066082916252
"19","ALBUSKJELL",1992,0.0868,6.973,10,7.4,0,19.3208366,31.617592005277,33.719950232076,41.677934093024,33.746824653227,28.963858928739,37.258577781722,30.228480109489,58.806790334572,63.596875072185,-2.102358226799,1e-07,2.102358226799,-2.12923264795,1e-06,2.12923264795,0.62557077626,620.59,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,15.9854014597443
"43","ALBUSKJELL",1993,0.09609,7.06909,0,7.4,0,16.9716342,26.965988806331,31.617592005277,33.719950232076,41.677934093024,33.746824653227,28.963858928739,37.258577781722,30.228480109489,58.806790334572,-4.651603198946,1e-07,4.651603198946,-14.711945286693,1e-06,14.711945286693,0.63737796914,697.73,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"11","ALBUSKJELL",1994,0.08102,7.15011,3,7.4,0,15.8173152,24.504457935417,26.965988806331,31.617592005277,33.719950232076,41.677934093024,33.746824653227,28.963858928739,37.258577781722,30.228480109489,-2.461530870914,1e-07,2.461530870914,-9.215492296659,1e-06,9.215492296659,0.6418274807,674.41,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,4.67415324243844
"24","ALBUSKJELL",1995,0.07389,7.224,3,7.4,0,17.0166797,25.636007605261,24.504457935417,26.965988806331,31.617592005277,33.719950232076,41.677934093024,33.746824653227,28.963858928739,37.258577781722,1.131549669844,1.131549669844,1e-07,-5.981584400016,1e-06,5.981584400016,0.66338741206,819.75,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,4.5222443861034
"36","ALBUSKJELL",1996,0.05436,7.27836,0,7.4,0,20.6684884,30.244492834351,25.636007605261,24.504457935417,26.965988806331,31.617592005277,33.719950232076,41.677934093024,33.746824653227,28.963858928739,4.60848522909,4.60848522909,1e-07,3.27850402802,3.27850402802,1e-06,0.67290533329,847.54,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"25","ALBUSKJELL",1997,0.04615,7.32451,0,7.4,0,19.0925875,27.311797722586,30.244492834351,25.636007605261,24.504457935417,26.965988806331,31.617592005277,33.719950232076,41.677934093024,33.746824653227,-2.932695111765,1e-07,2.932695111765,2.807339787169,2.807339787169,1e-06,0.68551886056,935.57,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"23","ALBUSKJELL",1998,0.02955,7.35406,0,7.4,0,12.7156615,17.910672309393,27.311797722586,30.244492834351,25.636007605261,24.504457935417,26.965988806331,31.617592005277,33.719950232076,41.677934093024,-9.401125413193,1e-07,9.401125413193,-7.725335295868,1e-06,7.725335295868,0.69929048414,1017.16,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
