"","X","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real","total.oil","total.invest"
"464",468,"GINA KROG",2006,NA,NA,0,NA,NA,NA,NA,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,2006,0,NA,NA,"2013-05-21",NA,0,0,0
"468",474,"GJØA",1997,NA,NA,0,3.94582175987074,61.3341761802186,11.6,6.4,19.0925875,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,-2.785315667182,1e-07,2.785315667182,2.666259939854,2.666259939854,1e-06,0.68551886056,935.57,1997,6.94705,"2010-11-07",NA,"2007-06-14",NA,0,6.94705,28043
"485",493,"GLITNE",2000,NA,NA,240,1.64713993637797,58.7115279216089,8.9,0,28.4954492,36.083645010193,23.520307831673,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,12.56333717852,12.56333717852,1e-07,10.144372362841,10.144372362841,1e-06,0.73402927585,1089.13,2000,8.88167,"2001-08-29","2013-02-23","2000-09-08","2013-02-24",326.962435826666,8.88167,2536
"499",503,"GOLIAT",2009,NA,NA,755,22.2965458401117,71.2740636316135,30.2,30.2,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2009,0,NA,NA,"2009-06-18",NA,767.784584377765,0,10182
"504",511,"GRANE",1996,0.0792,0.0792,0,2.50607379481059,59.1857377077759,124.6,36.1,20.6684884,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,4.376890751127,4.376890751127,1e-07,3.113746327578,3.113746327578,1e-06,0.67290533329,847.54,1996,93.58824,"2003-09-23",NA,"2000-06-14",NA,0,93.58824,19746
"520",523,"GUDRUN",2010,NA,NA,1078,1.75161092079814,58.8493803077664,11.7,11.7,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2010,0,NA,NA,"2010-06-16",NA,1078.29787605735,0,5857
"524",553,"GULLFAKS",1981,NA,NA,357,2.13036380816768,61.2089581494083,365.5,11.6,35.93,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,-11.2727303609,1e-07,11.2727303609,39.302163134841,39.302163134841,1e-06,0.34808704606,139.91,1981,356.28412,"1986-12-22",NA,"1981-10-09",NA,1025.60553183718,356.28412,74940
"557",567,"GULLFAKS SØR",1996,NA,NA,986,2.21528598111054,61.1067299939659,58.8,16.6,20.6684884,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,4.376890751127,4.376890751127,1e-07,3.113746327578,3.113746327578,1e-06,0.67290533329,847.54,1996,44.32178,"1998-10-10",NA,"1996-03-29",NA,1465.28783652108,44.32178,28340
"575",578,"GUNGNE",1995,NA,NA,153,1.91707179494344,58.3096141408118,0,0,17.0166797,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,1.074684855909,1.074684855909,1e-07,-5.680986297246,1e-06,5.680986297246,0.66338741206,819.75,1995,0,"1996-04-21",NA,"1995-08-29",NA,230.634463691274,0,1930
"594",604,"GYDA",1988,NA,NA,2636,3.08973251789626,56.8543531300868,36.5,0.9,14.9238417,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,-7.877876661437,1e-07,7.877876661437,-28.343206924529,1e-06,28.343206924529,0.59988955903,392.57,1988,35.7882,"1990-06-21",NA,"1987-06-02",NA,4394.14215553663,35.7882,12435
"620",635,"HEIDRUN",1986,NA,NA,0,7.30697961751645,65.3294441575204,182.1,40.1,14.43,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,94.941462258953,46.888728834356,-27.142137923642,1e-07,27.142137923642,-35.984945009234,1e-06,35.984945009234,0.50415692049,351.2,1986,145.17618,"1995-10-18",NA,"1991-05-14",NA,0,145.17618,52935
"648",663,"HEIMDAL",1981,NA,NA,81,2.22620308378794,59.5854747326451,8.2,1.6,35.93,86.190891969197,97.463622330097,94.941462258953,46.888728834356,50.0527486848,49.039922176,46.7387117912,51.2340452592,16.1487694424,-11.2727303609,1e-07,11.2727303609,39.302163134841,39.302163134841,1e-06,0.34808704606,139.91,1981,6.53347,"1985-12-13",NA,"1981-06-10",NA,232.700414786588,6.53347,10064
"681",698,"HOD",1988,NA,NA,11,3.47210796658871,56.1984281369552,10.4,0.9,14.9238417,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,97.463622330097,-7.877876661437,1e-07,7.877876661437,-28.343206924529,1e-06,28.343206924529,0.59988955903,392.57,1988,9.51905,"1990-09-30",NA,"1988-06-26",NA,18.3367085397962,9.51905,2254
"707",710,"HULDRA",1998,NA,NA,179,2.64179713722523,60.8544389936779,5.1,0,12.7156615,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,-8.928681947696,1e-07,8.928681947696,-7.337106863751,1e-06,7.337106863751,0.69929048414,1017.16,1998,5.14814,"2001-11-21",NA,"1999-02-02",NA,255.973739182419,5.14814,7460
"723",727,"HYME",2011,NA,NA,897,7.53664057793516,64.345939490471,3.2,3.2,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0.35826,"2013-03-02",NA,"2011-06-24",NA,866.701364582671,0.35826,897
"726",732,"ISLAY",2010,NA,NA,14,NA,NA,0,0,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2010,0.00325,"2012-04-10",NA,"2010-07-05",NA,14.0038685202253,0.00325,578
"730",736,"JETTE",2011,NA,NA,263,2.35987016625532,59.3933511560377,1.5,1.5,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,2011,0.20132,"2013-05-20",NA,"2012-02-17",NA,254.116453606736,0.20132,263
