"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"23","ALBUSKJELL",1989,0.1415,6.6864,14,2.99301856064265,56.6307886616647,7.4,0,18.2261133,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,86.190891969197,4.542602916535,4.542602916535,1e-07,3.341533915648,3.341533915648,1e-06,0.62060750447,447.98,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,22.5585412666836
"29","ALBUSKJELL",1990,0.10895,6.79535,8,2.99301856064265,56.6307886616647,7.4,0,23.7258203,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,74.500583626943,7.532540048975,7.532540048975,1e-07,4.197266304073,4.197266304073,1e-06,0.61968307593,481,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,12.909824893949
"18","ALBUSKJELL",1991,0.09085,6.8862,4,2.99301856064265,56.6307886616647,7.4,0,20.0033852,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,64.694325301205,-7.558063924941,1e-07,7.558063924941,4.517079040569,4.517079040569,1e-06,0.62105428404,568.73,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,6.44066082916252
"15","ALBUSKJELL",1992,0.0868,6.973,10,2.99301856064265,56.6307886616647,7.4,0,19.3208366,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,60.40088238691,-1.996706471,1e-07,1.996706471,-2.022230346966,1e-06,2.022230346966,0.62557077626,620.59,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,15.9854014597443
"42","ALBUSKJELL",1993,0.09609,7.06909,0,2.99301856064265,56.6307886616647,7.4,0,16.9716342,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,55.851518215613,-4.417841873697,1e-07,4.417841873697,-13.972612269638,1e-06,13.972612269638,0.63737796914,697.73,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"27","ALBUSKJELL",1994,0.08102,7.15011,3,2.99301856064265,56.6307886616647,7.4,0,15.8173152,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,28.709380291971,-2.337829279458,1e-07,2.337829279458,-8.752377624155,1e-06,8.752377624155,0.6418274807,674.41,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,4.67415324243844
"35","ALBUSKJELL",1995,0.07389,7.224,3,2.99301856064265,56.6307886616647,7.4,0,17.0166797,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,35.386187952521,1.074684855909,1.074684855909,1e-07,-5.680986297246,1e-06,5.680986297246,0.66338741206,819.75,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,4.5222443861034
"10","ALBUSKJELL",1996,0.05436,7.27836,0,2.99301856064265,56.6307886616647,7.4,0,20.6684884,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,27.508311291084,4.376890751127,4.376890751127,1e-07,3.113746327578,3.113746327578,1e-06,0.67290533329,847.54,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"13","ALBUSKJELL",1997,0.04615,7.32451,0,2.99301856064265,56.6307886616647,7.4,0,19.0925875,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,32.050914207619,-2.785315667182,1e-07,2.785315667182,2.666259939854,2.666259939854,1e-06,0.68551886056,935.57,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"7","ALBUSKJELL",1998,0.02955,7.35406,0,2.99301856064265,56.6307886616647,7.4,0,12.7156615,17.010590699656,25.939272647352,28.724588314534,24.347697563407,23.273012707498,25.610841986956,30.028683860653,32.025390331653,39.583454256594,-8.928681947696,1e-07,8.928681947696,-7.337106863751,1e-06,7.337106863751,0.69929048414,1017.16,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
